"team";"week";"name";"pass";"x";"y";"season";"away_team";"away_score";"home_team";"home_score";"color";"size"
"TB";12;"Tom Brady";"COMPLETE";3.777621732;5.103073204;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";-12.30740652;-1.22184462;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";15.23720872;5.414035869;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";-6.006617383;39.23362273;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";-1.667032212;23.73910659;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";19.30885753;25.10295759;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";-0.02060706;5.628549169;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";-21.59591658;9.673707898;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";11.22206434;4.836872841;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";10.66909618;-2.908250318;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";12.14090855;10.10291594;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";12.33030006;2.844173825;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";-11.48731088;4.301282051;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";14.96402488;9.527569078;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";-1.366098188;5.945334384;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";-6.533645723;39.25290127;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";3.412742371;7.484625951;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";-11.43399002;-1.413612471;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";22.71915612;5.413384151;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";0.620901546;5.629331683;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";4.606413715;4.279812349;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";14.94670261;4.21298785;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"COMPLETE";-10.7473924;-2.019635836;2020;"KC";27;"TB";24;3;3
"TB";12;"Tom Brady";"TOUCHDOWN";1.526722362;0.098843864;2020;"KC";27;"TB";24;4;4
"TB";12;"Tom Brady";"TOUCHDOWN";10.77569214;0.101236264;2020;"KC";27;"TB";24;4;4
